# id	left	top	right	bottom	texture_id
[SPRITES]
# Ground
60111	86	37	101	52	300
60112	104	37	119	52	300
60113	122	37	137	52	300
60121	86	55	101	70	300
60122	104	55	119	70	300
60123	122	55	137	70	300

# Semisolid platform
## pink
6020111  86   73   101  88   300
6020112  104  73   119  88   300
6020113  122  73   137  88   300
6020121  86   91   101  106  300
6020122  104  91   119  106  300
6020123  122  91   137  106  300
6020131  86   109  101  124  300
6020132  104  109  119  124  300
6020133  122  109  137  124  300
