# id	left	top	right	bottom	texture_id
[SPRITES]
# === GRASS GROUND ===
# ID      Left  Top   Right Bottom TextureID
# grass 602
# top row
60211	1166	109	1181	124	300
60212	1184	109	1199	124	300
60213	1202	109	1217	124	300
# mid row
60221	1166	127	1181	142	300
60222	1184	127	1199	142	300
60223	1202	127	1217	142	300
# bottom row
60231	1166	145	1199	142	300
60233	1202	145	1217	160	300
## deep row
60241	1166	235	1181	250	300
60242	1184	235	1199	250	300
60243	1202	235	1217	250	300

### ==== SLOPE === 603
# ID      Left  Top   Right Bottom TextureID
# left to right
60311	1166	163	1181	178	300
60312	1184	163	1199	178	300
60313	1202	163	1199	178	300
# right to left
60321	1166	181	1181	196	300
60322	1184	181	1199	196	300
60323	1202	181	1217	196	300

### ===== big tree with eyes 60003 =====
# ID      Left  Top   Right Bottom TextureID
6000311   1166   37    1181   52     300
6000312   1184   37    1199   52     300
6000321   1166   55    1181   70     300
6000322   1184   55    1199   70     300
6000331   1166   73    1181   88     300
6000332   1184   73    1199   88     300
6000300	1184	253	1199	268 300

### ==== small tree with eyes 60004 ====
6000411	1166	91	1181	106	300
6000412	1184	91	1199	106	300
6000413	1202	91	1217	106	300
