# id	left	top	right	bottom	texture_id
[SPRITES]
# Background
# tree 60001
# ID      Left  Top   Right Bottom TextureID
6000111   206   37    221   52     300
6000112   224   37    239   52     300
6000121   206   55    221   70     300
6000122   224   55    239   70     300
6000131   206   73    221   88     300
6000132   224   73    239   88     300
6000100   242   37    257   52     300

# small tree 60002
6000200 242 55 257 70 300 alone small tree

#cloud 60003
6000311  26   37   41   52   300
6000312  44   37   59   52   300
6000313  62   37   77   52   300
6000321  26   55   41   70   300
6000322  44   55   59   70   300
6000323  62   55   77   70   300

#solid cloud 30002
30002 44 91 59 106 300

# wood block 30001
30001 824 145 839 160 300


# Ground 601
60111	86	37	101	52	300
60112	104	37	119	52	300
60113	122	37	137	52	300
60121	86	55	101	70	300
60122	104	55	119	70	300
60123	122	55	137	70	300

# blue deep block 30003
60200 446 145 461 160 300

# Semisolid platform 701
## Shadow
7010014	386 127	401 142	300		top
7010024 404 127	419 142	300		middle
7010041 386 163 401 178 300		shadow left
7010042	422 163 437 178 300		shadow center
7010043 404 163 419 178 300		shadow right

## pink 70101
### shadow on pink
7010134 122 127 137 142 300
### main
7010111  86   73   101  88   300
7010112  104  73   119  88   300
7010113  122  73   137  88   300
7010121  86   91   101  106  300
7010122  104  91   119  106  300
7010123  122  91   137  106  300
7010131  86   109  101  124  300
7010132  104  109  119  124  300
7010133  122  109  137  124  300

##blue - 70102
### shadow on blue
7010234 422 127 437 142 300
### main platform
7010211  386  73   401  88   300
7010212  404  73   419  88   300
7010213  422  73   437  88   300
7010221  386  91   401  106  300
7010222  404  91   419  106  300
7010223  422  91   437  106  300
7010231  386  109  401  124  300
7010232  404  109  419  124  300
7010233  422  109  437  124  300

## green - 70103
##shadow
7010334 242 163 257 178 300
## main
7010311 206 109 221 124 300
7010312 224 109 239 124 300
7010313 242 109 257 124 300
7010321 206 127 221 142 300
7010322 224 127 239 142 300
7010323 242 127 257 142 300
7010331 206 145 221 160 300
7010332 224 145 239 160 300
7010333 242 145 257 160 300

## white 70104
7010411 26 109 41 124 300
7010412 44 109 59 124 300
7010413 62 109 77 124 300
7010421 26 127 41 142 300
7010422 44 127 59 142 300
7010423 62 127 77 142 300
7010431 26 145 41 160 300
7010432 44 145 59 160 300
7010433 62 145 77 160 300
