# id	left	top	right	bottom	texture_id
# list of object assets to load in this scene
[ASSETS]
mario.txt
cloud.txt
stage1_assets.txt
pipe.txt
HUD.txt
power_up.txt
HUD.txt
effect.txt
goal.txt
goalblock.txt
boomerang-bro.txt

[MAP_INFO]
32.5

[CAMERA_ZONES]
-1 1.5 32 14.5

[BGM]
bgm_stage1

[GRID_OBJECTS]
# type x y extra_settings per object type
# type: 0 = Mario , 1 = Brick, 2 = Goomba, 3 = Koopas
# See OBJECT_TYPE constants in AssetIDs.h

# MARIO
0 20 10

#GROUND
601 0 12 16 16 39 6 60111 60112 60113 60121 60122 60123

# SMALL TREE
600 1 11 6000200
600 2 11 6000200

# BOOMERANG BRO
204 2 10

# TREE
600 3 11 6000111
600 4 11 6000132
600 4 10 6000121
600 4 9 6000111
600 5 11 6000100
600 5 10 6000131
600 5 9 6000112
600 6 11 6000122
600 6 10 6000112

# CLOUD
600 3 5 6000321
600 3 4 6000311
600 4 5 6000322
600 4 4 6000312
600 5 5 6000323
600 5 4 6000313

# PIPE
702 8 10	16 16	2	70211 70212 70221 70222 70221 70222 1 999

###### GOAL
## Black bg
600 12 -33 69900
600 12 -22 69900
600 12 -11 69900
600 12 0 69900
600 12 11 69900

### đen thui dọc
600 13 -33 69901
600 13 -22 69901
600 13 -11 69901
600 13 0 69901
600 13 11 69901

### đen thui dọc
600 14 -33 69901
600 14 -22 69901
600 14 -11 69901
600 14 0 69901
600 14 11 69901

### đen thui dọc
600 15 -33 69901
600 15 -22 69901
600 15 -11 69901
600 15 0 69901
600 15 11 69901

### đen thui dọc
600 16 -33 69901
600 16 -22 69901
600 16 -11 69901
600 16 0 69901
600 16 11 69901

### đen thui dọc
600 17 -33 69901
600 17 -22 69901
600 17 -11 69901
600 17 0 69901
600 17 11 69901

### đen thui dọc
600 18 -33 69901
600 18 -22 69901
600 18 -11 69901
600 18 0 69901
600 18 11 69901

### đen thui dọc
600 19 -33 69901
600 19 -22 69901
600 19 -11 69901
600 19 0 69901
600 19 11 69901

### đen thui dọc
600 20 -33 69901
600 20 -22 69901
600 20 -11 69901
600 20 0 69901
600 20 11 69901

### đen thui dọc
600 21 -33 69901
600 21 -22 69901
600 21 -11 69901
600 21 0 69901
600 21 11 69901

### đen thui dọc
600 22 -33 69901
600 22 -22 69901
600 22 -11 69901
600 22 0 69901
600 22 11 69901

### đen thui dọc
600 23 -33 69901
600 23 -22 69901
600 23 -11 69901
600 23 0 69901
600 23 11 69901

### đen thui dọc
600 24 -33 69901
600 24 -22 69901
600 24 -11 69901
600 24 0 69901
600 24 11 69901

### đen thui dọc
600 25 -33 69901
600 25 -22 69901
600 25 -11 69901
600 25 0 69901
600 25 11 69901

### đen thui dọc
600 26 -33 69901
600 26 -22 69901
600 26 -11 69901
600 26 0 69901
600 26 11 69901

### đen thui dọc
600 27 -33 69901
600 27 -22 69901
600 27 -11 69901
600 27 0 69901
600 27 11 69901

### đen thui dọc
600 28 -33 69901
600 28 -22 69901
600 28 -11 69901
600 28 0 69901
600 28 11 69901

### đen thui dọc
600 29 -33 69901
600 29 -22 69901
600 29 -11 69901
600 29 0 69901
600 29 11 69901

### đen thui dọc
600 30 -33 69901
600 30 -22 69901
600 30 -11 69901
600 30 0 69901
600 30 11 69901

### đen thui dọc
600 31 -33 69901
600 31 -22 69901
600 31 -11 69901
600 31 0 69901
600 31 11 69901

### đen thui dọc
600 32 -33 69901
600 32 -22 69901
600 32 -11 69901
600 32 0 69901
600 32 11 69901

### đen thui dọc
600 33 -33 69901
600 33 -22 69901
600 33 -11 69901
600 33 0 69901
600 33 11 69901

### đen thui dọc
600 34 -33 69901
600 34 -22 69901
600 34 -11 69901
600 34 0 69901
600 34 11 69901

### đen thui dọc
600 35 -33 69901
600 35 -22 69901
600 35 -11 69901
600 35 0 69901
600 35 11 69901

### đen thui dọc
600 36 -33 69901
600 36 -22 69901
600 36 -11 69901
600 36 0 69901
600 36 11 69901

### đen thui dọc
600 37 -33 69901
600 37 -22 69901
600 37 -11 69901
600 37 0 69901
600 37 11 69901

### đen thui dọc
600 38 -33 69901
600 38 -22 69901
600 38 -11 69901
600 38 0 69901
600 38 11 69901

### đen thui dọc
600 39 -33 69901
600 39 -22 69901
600 39 -11 69901
600 39 0 69901
600 39 11 69901

### đen thui dọc
600 40 -33 69901
600 40 -22 69901
600 40 -11 69901
600 40 0 69901
600 40 11 69901

### đen thui dọc
600 41 -33 69901
600 41 -22 69901
600 41 -11 69901
600 41 0 69901
600 41 11 69901

### đen thui dọc
600 42 -33 69901
600 42 -22 69901
600 42 -11 69901
600 42 0 69901
600 42 11 69901

### đen thui dọc
600 43 -33 69901
600 43 -22 69901
600 43 -11 69901
600 43 0 69901
600 43 11 69901

### đen thui dọc
