# id	left	top	right	bottom	texture_id
[SPRITES]
# GREEN GROUND 641
64111  1766 73  1781 88  300
64112  1784 73  1799 88  300
64113  1802 73  1817 88  300

64121  1766 91  1781 106 300
64122  1784 91  1799 106 300
64123  1802 91  1817 106 300

# BROWN GROUND 651
65111  1706 37 1721 52  300
65112  1724 37 1739 52  300
65113  1742 37 1757 52  300

65121  1706 55 1721 70  300
65122  1724 55 1739 70  300
65123  1742 55 1757 70  300

# LIFT 704
70401 1706 73 1721 88 300
70402 1724 73 1739 88 300
70403 1742 73 1757 88 300
